p_OptyBaseNumber,p_OptyBaseName
A-18663895,P_23050414311000Opty
A-18663896,P_23050414311702Opty
A-18663897,P_23050414311604Opty
A-18663898,P_23050414313001Opty
A-18663901,P_23050414325707Opty
A-18663904,P_23050414325802Opty
A-18663907,P_23050414331409Opty
A-18663908,P_23050414332206Opty
A-18663910,P_23050414333503Opty
A-18663909,P_23050414334305Opty
A-18663911,P_23050414333508Opty
A-18663912,P_23050414334801Opty
A-18663914,P_23050414334900Opty
A-18663913,P_23050414333907Opty
A-18663915,P_23050414334008Opty
A-18663918,P_23050414340405Opty
A-18663919,P_23050414340403Opty
A-18663920,P_23050414341209Opty
A-18663923,P_23050414342102Opty
A-18663921,P_23050414340506Opty
A-18663925,P_23050414341804Opty
A-18663924,P_23050414342100Opty
A-18663926,P_23050414342401Opty
A-18663929,P_23050414353107Opty
A-18663934,P_23050414353702Opty
A-18663935,P_23050414355309Opty
A-18663936,P_23050414355304Opty
A-18663937,P_23050414360706Opty
A-18663938,P_23050414361705Opty
A-18663939,P_23050414362503Opty
A-18663940,P_23050414363701Opty
A-18663942,P_23050414361908Opty
A-18663941,P_23050414362600Opty
A-18663943,P_23050414363208Opty
A-18663944,P_23050414362507Opty
A-18663947,P_23050414365905Opty
A-18663948,P_23050414371302Opty
A-18663949,P_23050414370103Opty
A-18663950,P_23050414371106Opty
A-18663952,P_23050414371209Opty
A-18663953,P_23050414372204Opty
A-18663951,P_23050414372600Opty
A-18663956,P_23050414342401Opty
A-18663888,P_23050414310108Opty
A-18663889,P_23050414304808Opty
A-18663890,P_23050414310200Opty
A-18663892,P_23050414311203Opty
A-18663893,P_23050414311006Opty
A-18663891,P_23050414311205Opty
A-18663894,P_23050414275809Opty
